TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Cluster
14.09,Debit,San Diego,ATM,Lansia,Doctor,81,1,5112.21,2024-11-04 08:08:08,2
376.24,Debit,Houston,ATM,Lansia,Doctor,141,1,13758.91,2024-11-04 08:09:35,0
126.29,Debit,Mesa,Online,Dewasa Muda,Student,56,1,1122.35,2024-11-04 08:07:04,1
184.5,Debit,Raleigh,Online,Dewasa Muda,Student,25,1,8569.06,2024-11-04 08:09:06,2
13.45,Credit,Atlanta,Online,Dewasa Muda,Student,198,1,7429.4,2024-11-04 08:06:39,2
92.15,Debit,Oklahoma City,ATM,Dewasa Muda,Student,172,1,781.68,2024-11-04 08:06:36,1
7.08,Credit,Seattle,ATM,Dewasa,Doctor,139,1,13316.71,2024-11-04 08:10:09,0
171.42,Credit,Indianapolis,Branch,Lansia,Retired,291,1,2796.24,2024-11-04 08:10:55,1
106.23,Credit,Detroit,Branch,Lansia Muda,Engineer,86,1,9095.14,2024-11-04 08:11:14,0
815.96,Debit,Nashville,ATM,Lansia Muda,Doctor,120,1,1021.88,2024-11-04 08:06:32,1
17.78,Credit,Albuquerque,Online,Lansia Muda,Engineer,59,1,7599.52,2024-11-04 08:06:45,2
190.02,Debit,Memphis,Online,Dewasa Muda,Student,173,1,1528.81,2024-11-04 08:07:12,1
494.52,Credit,Mesa,Branch,Dewasa Muda,Student,111,1,1620.02,2024-11-04 08:08:38,1
781.76,Debit,Memphis,ATM,Dewasa Muda,Student,123,1,189.69,2024-11-04 08:07:06,1
166.99,Debit,Louisville,Online,Dewasa Muda,Student,134,1,299.93,2024-11-04 08:10:09,1
465.45,Debit,Denver,ATM,Dewasa,Engineer,129,1,3465.54,2024-11-04 08:12:19,1
555.8,Credit,Austin,Branch,Dewasa Muda,Student,158,1,1131.26,2024-11-04 08:07:35,1
492.93,Debit,Columbus,Online,Dewasa,Engineer,234,1,5109.97,2024-11-04 08:11:51,2
18.68,Credit,Albuquerque,Branch,Lansia Muda,Retired,106,1,7948.37,2024-11-04 08:12:01,2
71.48,Credit,Columbus,Online,Dewasa Muda,Student,169,1,6568.59,2024-11-04 08:09:20,2
59.32,Debit,Los Angeles,Branch,Lansia,Retired,38,1,5750.89,2024-11-04 08:09:24,2
85.77,Debit,Las Vegas,Branch,Dewasa,Doctor,93,1,9146.19,2024-11-04 08:08:13,0
52.2,Debit,Atlanta,Online,Dewasa,Engineer,120,1,8974.93,2024-11-04 08:07:01,2
345.84,Debit,Fort Worth,Online,Dewasa Muda,Student,142,3,1402.5,2024-11-04 08:07:04,1
145.54,Debit,Raleigh,Online,Dewasa Muda,Student,96,1,1930.96,2024-11-04 08:07:09,1
7.49,Credit,Houston,Online,Lansia,Retired,276,1,3634.67,2024-11-04 08:09:44,1
246.93,Debit,Miami,ATM,Dewasa Muda,Student,158,5,673.35,2024-11-04 08:11:38,1
40.32,Debit,Milwaukee,Branch,Dewasa,Engineer,95,1,2686.52,2024-11-04 08:11:59,1
127.45,Debit,Las Vegas,Online,Dewasa,Doctor,197,1,1772.06,2024-11-04 08:11:22,1
56.17,Debit,Detroit,Branch,Dewasa Muda,Student,283,1,1351.69,2024-11-04 08:08:30,1
28.31,Credit,Miami,Online,Lansia Muda,Doctor,20,1,8334.47,2024-11-04 08:09:17,2
59.12,Debit,Baltimore,ATM,Dewasa Muda,Doctor,257,1,9823.64,2024-11-04 08:06:58,0
396.45,Debit,New York,ATM,Dewasa,Engineer,168,3,9690.15,2024-11-04 08:11:13,0
877.81,Debit,Los Angeles,Online,Dewasa Muda,Student,150,1,399.0,2024-11-04 08:07:50,1
255.26,Credit,San Francisco,Branch,Dewasa,Doctor,50,1,14815.87,2024-11-04 08:10:51,0
124.76,Debit,Seattle,Branch,Dewasa,Engineer,45,1,5764.72,2024-11-04 08:06:23,2
